roster_randomid,officialroster,ingradebookdata,insurveyparticipatedata,status,gender,eth2009rollupforreporting,agegroup,lowincomeflag,fulltimestatus,firstgenerationflag,homeprimarylang,admissionsstatusdetail,hsgpa,transfergpa,gpacumulative,firstregacadyr,firstregacadterm,major1
672849,Yes,Yes,Yes,Enrolled,Male,International student,20,N,Part-time,N,English/non-English,Freshman,4.1799998,,,2014-15,Fall,Biological Sciences
872962,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,20,N,Part-time,N,English only,Freshman,4,,,2013-14,Fall,Biological Sciences
482931,Yes,Yes,Yes,Enrolled,Male,"White, non-Hispanic",24,N,Part-time,Y,Non-English,Transfer,,3.22,,2015-16,Fall,Psychology
455346,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,19,N,Full-time,Y,English only,Freshman,4.04,,,2015-16,Fall,Education Sciences
491579,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,20,Y,Full-time,Y,Non-English,Freshman,4.1399999,,,2014-15,Fall,Biological Sciences
608378,Yes,Yes,Yes,Enrolled,Female,Hispanic,19,N,Full-time,Y,English only,Freshman,4.3299999,,,2014-15,Fall,Public Health Sciences
714417,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,20,N,Full-time,N,English/non-English,Freshman,4.1999998,,,2014-15,Fall,Biological Sciences
508735,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,19,N,Part-time,Y,English only,Freshman,4.2199998,,,2014-15,Fall,Biological Sciences
407162,Yes,Yes,Yes,Enrolled,Male,Unknown / declined to state,20,N,Full-time,Y,Non-English,Freshman,4.27,,,2014-15,Fall,Biological Sciences
529371,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,19,Y,Part-time,Y,English/non-English,Freshman,4.25,,,2014-15,Fall,Biological Sciences
199241,Yes,Yes,Yes,Enrolled,Male,Hispanic,19,N,Full-time,N,Non-English,Freshman,4.0500002,,,2014-15,Fall,Computer Game Science
682272,,,,,Male,Asian / Pacific Islander,22,N,Full-time,N,English/non-English,Freshman,4,,,2012-13,Fall,Political Science
200213,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,18,N,Full-time,Y,English/non-English,Freshman,3.3,,,2015-16,Fall,Dance
104500,Yes,Yes,Yes,Enrolled,Male,Hispanic,19,Y,Full-time,N,English/non-English,Freshman,4,,,2014-15,Fall,Biological Sciences
782325,Yes,Yes,Yes,Enrolled,Female,Asian / Pacific Islander,19,Y,Full-time,Y,English/non-English,Freshman,4.04,,,2014-15,Fall,Pharmaceutical Sciences
663041,Yes,Yes,Yes,Enrolled,Female,Unknown / declined to state,19,N,Part-time,N,English/non-English,Freshman,4.1300001,,,2014-15,Fall,Biological Sciences
800759,Yes,Yes,Yes,Enrolled,Male,Asian / Pacific Islander,18,Y,Part-time,Y,English/non-English,Freshman,3.8299999,,,2015-16,Fall,Biological Sciences
701203,Yes,Yes,Yes,Enrolled,Male,Hispanic,22,N,Full-time,Y,English only,Freshman,3.5999999,,,2012-13,Fall,Sociology
787480,Yes,Yes,Yes,Enrolled,Male,International student,20,N,Full-time,N,Non-English,Freshman,3.99,,,2015-16,Fall,Earth System Science
